,thread_title,thread_id
7663,Next Ped Appt & Vaccines,a56864368
7664,"*Trigger* To Vaccinate, Or to Not Vaccinate?",a41637550
7665,vaccines right after birth..yay or nay?,a34916602
7666,Vaccines causing autism,a45325924
7667,"Mom's of daughters ***EDIT and sons***, gardisil vaccine",a43834609
7668,"Closer to birth, troubles arise. UD p 5",a66263494
7669,"Shots, visiting rules, advice?",a64313842
7670,Controversial Ear Piercing!! Asking again?,a69247181
7671,4m Vaccines and side effects,a60045022
7672,Teething already?,a68490457
7673,In laws are fun...Long post,a62971774
7674,S/O: MMR vaccine,a40143493
7675,Did u vaccine ur LO?m,a38044327
7676,if you are on the fence about vaccinating... or thinking of delayed vax.,a26200183
7680,TDap/vaccinations during pregnancy?,a48136378
7681,Rhogam shot and other pregnant vaccines ??!,a58981798
7682,Rotovirus vaccine reactions?,a53265910
7683,Anyone's family NOT agree to get vaccinated?,a46077313
7684,Lessons from a 1903 KS Graveyard! Why vaccinate! Very good read!,a47538862
7685,"No, Its Not Your Child Your Choice (rant)",a62437201
7686,to vaccinate or not?,a35254186
7687,whopping cough vaccine,a60167908
7689,Leap 2,a69367856
7691,MIL refuses to get pertussis vaccine... What to do?,a35571175
7692,Be informed - vaccinations,a42598528
7693,Vaccination Exemptions,a55151524
7694,Vaccines?,a60095764
7695,Whooping cough vaccine?,a58007422
7696,"Trigger. For those who vaccinate, do you bring LO around un-vaxed children?",a49018123
7697,Vaccines,a47131288
7699,Tdap (vent),a69457094
7700,Flu Shot??,a68179771
7701,Vomiting after 4 month vaccinations?,a58001125
7702,Flu shot & TDAP vaccines * Poll*,a52553188
7703,need happy/event-free stories: 12 mo vaccines,a42149779
7704,"Someone catch me up...(Oh, Jenny!)",a64998028
7705,vaccines?? am I alone?,a54357424
7706,"2 mo vaccines, how many actual shots did your LO get?",a44613274
7708,Disagreeing on vaccination,a54861787
7709,Vaccines???? I'm freaking out!!!!!*****update,a33168556
7710,unvaccinated attending preschool,a56906626
7711,whooping cough pertussis vaccine,a50108851
7712,Featured Group of the Week - VPDs/Vaccines Discussion,a61581316
7713,Asking family get vaccinated???,a33890572
7714,Non-vaxers: Do you vaccinate your pets?,a33750523
7715,Vaccinations!,a33230578
7716,Share your unpopular opnions,a66217510
7717,Owlet Red Alert,a70312166
7718,Swollen thigh after tdap (includes pic) - updated,a65796640
7720,MMR vaccine!,a29648977
7721,vaccines,a52535104
7722,Dr bhb- MMRV vaccine rash w/pics,a50204830
7723,"FSIL and DB think we are personally attacking FSIL, when they know how personal this issue is to me.",a59030203
7725,2 month vaccinations- im thinking no,a33539107
7726,Whooping cough/pertussis vaccine,a46482235
7727,Delayed Vaccines *Trigger*,a57866698
7728,So nervous about vaccines tomorrow,a57366169
7729,The Supreme Court tells parents: You're on your on regarding vaccines,a26555189
7730,Vaccines ???,a53713270
7731,4 month shots anyone?,a69095839
7732,Finally the TRUTH about VACCINES,a32549119
7733,Are you planning to get the whooping cough vaccine while your pregnant?,a50069026
7734,Flu Vaccine *Poll*,a52834621
7735,How serious is Whooping cough to my baby?,a67634980
7736,Breastfeeding and vaccinations,a39524083
7737,New pertussis vaccine recommendations,a39250690
7738,Age 10 rash? ANSWER page 8,a65240293
7739,"DH says no flu vaccine, I say yes",a52882726
7740,Rotavirus vaccine side effects,a58178662
7742,How to deal with MIL when we visit her,a64188421
7743,MMR vaccine question,a49057624
7745,"""Democrats bring diseases to everybody by not getting vaccinated...""",a59209198
7747,Benefits to delaying or spacing out vaccines?,a57098158
7749,Here We Go Again..,a26019521
7751,I regret,a43702708
7752,MIL has shingles and held my baby,a70807960
7753,"whooping cough vaccine, and vent!",a57710263
7754,tdap vaccine,a40979386
7755,Rude to not go with family to a big event?,a67757722
7757,Vaccinations,a52498012
7758,to those who did delayed/selective vaccines...?,a54068869
7761,Vaccination- why you should,a38712085
7762,Nervous about shots,a66994438
7764,Are You Going To Vaccinate Your Baby? -POLL-,a49727638
7766,completely harassed and need to VENT VENT VENT!,a24978345
7767,You think its the tdap?,a69506432
7770,Friend's infant recieved wrong Vaccination,a55895413
7773,I will NEVER Vaccinate my children!,a50682718
7775,5yr old reaction to DTaP vaccine-Pic included~UPDATEDpg6,a21483939
7777,"Vaccines - I know it's been discussed, but...",a39336568
7779,"""A review of 166 independent studies confirms vaccines are safe and effective...""",a50816998
7780,not vaccinated!,a50434096
7781,When you take your LO out...,a68667355
7784,TRIGGER-Vaccines and SIDS?,a31965523
7785,Lump/knot after vaccine??,a57212452
7786,Dr. wants me to get a vaccine,a43659565
7787,Circumcision/Vaccinations/Abortion/Spanking/Epidurals,a36193630
7788,Flu shot posts,a70322525
7789,Vaccinations,a32794439
7790,Flu vaccine and daycare,a60323611
7791,My ob only gives pertussis vaccine after birth,a47240560
7793,How common are the diseases we're vaccinating against? LONG,a46666291
7794,Info on vaccinations...to those still undecided...,a46310083
7797,DTAP vaccine,a43588195
7799,2 month vaccinations :(,a48811879
7800,Vaccinations (Not a debate on to vax or not),a52046737
7801,job terminated while on maternity leave,a35089486
7803,Post Polio Syndrome & Vaccination,a43032703
7804,"Were you born before 1990? (yes, another vaccine thread)",a55137655
7805,Fussy for days after 2 months vaccines?,a60032968
7806,Hepatitis B vaccine in the hospital,a49151074
7807,Flu vaccine,a61794838
7808,Reaction to chicken pox vaccine,a60387595
7809,Second guessing vaccinating my son,a55689574
7810,Vaccinations,a52684639
7811,Travel vaccines,a63421891
7813,Are you getting the DTAP vaccine? Why or why not?,a45500893
7814,Vaccinations?,a43623238
7815,My baby cries if I put her down she is 4 months,a70703257
7816,Vaccinations and rude doctor :( vent sorry long!!!!,a44901127
7817,New recommendations for tdap vaccines-20wks,a44827774
7818,Vaccine Exemption,a28578551
7820,how many vaccines did your 2 month old get?,a58042633
7821,Newborns vaccines.,a29340023
7822,"D@&$ it, I have Whooping Cough.",a54159529
7823,Two Doses of Flu Vaccine,a60271705
7824,2 month vaccinations,a60533686
7826,"FTM- vaccinations, help!",a53863540
7827,Tdap vaccine (possible trigger),a40827196
7828,Flu Shot? Vaccines? Being Sick?,a52591486
7829,Chickenpox vaccine,a49666603
7831,MMR vaccine,a56865880
7832,"Flu vaccine- autism, from my OB",a38456713
7833,Vaccines. I found this interesting.,a54624001
7835,vaccines,a48388939
7836,Unvaccinated children,a68251939
7837,Rotavirus Vaccine,a64293325
7838,Early Chicken Pox?,a69922748
7840,Fever after vaccines... on Tuesday?,a59791834
7841,flu vaccine?,a58684681
7842,my local pediatrician's hard core view of vaccines,a40642675
7843,Whooping cough vaccine,a61104739
7844,Vaccine SCHEDULE,a33968518
7846,*TRIGGER*- Pertussis vaccination or lack there of STORY.\,a35082820
7847,Not a vaccine debate-- need legitimate advice-- possible allergic reaction,a54610939
7848,The HPV Vaccine Please help me understand why people choose to discourage their daughters.,a31400851
7850,A Can of Worms. *Trigger*,a55279249
7851,Have you gotten the pertussis vaccine yet?,a58111822
7852,Vaccine Reaction...wwyd,a38239240
7853,Great article on vaccines and autism,a47977312
7854,Anyone Feeling Guilty About Vaccinating?,a26422809
7856,Vaccines for yourself.,a57568231
7857,Debate This,a60550606
7858,Vaccine,a61107958
7859,Mom Groups Be Like...,a69035791
7860,Diarrhea? Teething?,a70492342
7861,I want to vaccinate my child but fear the risk of autism,a36742174
7863,Im postponing my daughters vaccines.,a59478823
7864,Anti-vaxers....,a67003525
7865,Whooping Cough (Pertussis) Vaccine,a49364953
7867,Teething or bad reaction to vaccines?,a60867616
7868,Fraud - Vaccine and Autism Link,a25801013
7869,Autism and Vaccines,a40402480
7870,T-dap vaccine,a63682873
7871,Could this be vaccine related ?,a58699852
7872,Truth or Dare?,a35008447
7874,for those not vaccinating .....,a38711281
7875,Everything scares me.,a68707135
7876,This is why we vaccinate.,a47273527
7877,let' have the dreaded vaccination talk,a36405544
7878,TDAP Vaccine for SO ?,a65193409
7879,Tdap concerns,a64386547
7880,Stressing out about the whopping cough vaccine!,a51684949
7881,Question for moms who choose to space out vaccines,a58406707
7882,Delayed vaccine schedule *Update*,a50035777
7883,"I believe in vaccinating.. However,",a60047110
7884,Whooping Cough vaccine & family???,a49915036
7885,has anyone had good experiences with vaccines?!,a47071693
7888,Flu Shot-Whats your take on it?,a70482875
7890,should anyone not get vaccines?,a52203412
7891,Totally freaking out about a possible family vacation! What do i do!?,a65528338
7892,Vaccines and autism,a53969173
7893,Do people know this about some vaccines????,a34906873
7894,Do you cry when your baby gets vaccines?,a50805313
7895,PBS: Nova: Vaccines--Calling the Shots,a52295524
7896,Who's getting the whooping cough/d tap vaccine while pregnant?,a40850518
7897,FTM worried,a71291041
7899,Flu Shot - To get or not to get?,a68089879
7901,Vaccinations around the world.,a63060130
7902,vaccination can change personality???,a6791345
7903,More Info on Vaccines (I found it useful),a50163229
7904,Non-vaccinating-friendly pediatrician in the Bay Area?,a61535383
7906,Vaccination schedule advice,a51092146
7907,Help please,a69444008
7908,Sleeping after 2 months vaccination?,a63625165
7909,I cant friggin move.,a69695411
7910,Vaccine help!,a50309776
7912,Chicken pox vaccine? Question,a61447399
7913,Vaccination!!!!??? Help...,a45719554
7914,2 month vaccine,a62077630
7915,"CA help, please! Are regulations for summertime different than the rest of year?",a69608510
7916,Can we not?!?!,a64176790
7917,US anti-vaccination campaigner's Sydney and Melbourne shows cancelled after pro vaccine protests,a54533332
7919,So for the silly parents that don't vaccinate because of the autism risk,a25190829
7920,"""Applying the anti-vaccine mentality to car seats""",a50666068
7921,TDAP Vaccine Side Effects?,a51662404
7922,Advice for 12 mos appt? UPDATE,a66494761
7924,"Tdap vaccine, did you/are you? Why or why not?",a42577741
7925,Odds of measles transmission?,a71302957
7926,Day after vaccine,a59507503
7927,Flat head,a70792723
7928,Vaccine questions..what did you do?,a49600948
7929,Anyone else spreading 2 month vaccines?,a46815556
7930,Rotavirus vaccine and disposables,a64650004
7931,documentary about vaccines,a45995965
7933,Mom's who don't vaccinate,a58307158
7935,Vaccinating Children,a48530995
7936,Per our early on conversations about vaccines and autism - an interesting article,a52016803
7937,Help! Moms with vaccinated babies,a61149130
7940,Religious and philisophical vaccine exemptions: should they be allowed?,a45010840
7941,Cutting off friend whose baby is unvaccinated? Help!,a55748644
7944,Flu Shot? Poll.,a65614189
7946,Measles Vaccine,a55752205
7947,"For those unsure of vax'ing. Stirring the pot, maybe?",a44585023
7949,2 month old vaccines today,a52726546
7950,What's Happening Wednesday - Rules for visiting,a71178556
7954,vaccines,a56219467
7956,Anyone else cry when their baby got their vaccine shots?,a56975464
7957,No vaccine- flu,a39237127
7958,Vaccinations,a46285105
7959,(vaccines) written in my newsfeed by a nurse..,a48961243
7960,How Vaccines Cause Autism,a47475106
7961,2 year checkup,a67269340
7963,whooping cough vaccine,a56718073
7964,Weird changes after vaccinations,a60994687
7966,Anyone else?,a70289876
7967,Not trying to start a controversy here but. . . . . . .,a60557341
7968,4 month shots-fever,a69961049
7969,Hep B vaccine HEADS UP,a36753211
7972,Reaction to vaccinations,a56697247
7973,How vaccines cause Autism,a47475322
7974,anyone stopped vaccinating??,a39811606
7978,Mmr vaccine fever - how high? poll,a58094233
7979,Hepatitis B Vaccination,a61742875
7986,Whooping Cough Vaccine Again?,a63742093
7987,Simple vaccine question,a63774577
7989,Is everyone planning to take the whooping cough vaccine? Relatives too?,a48774856
7990,Just pretend this isn't about vaccines,a47260771
7991,Was i vaccinated without authorizing consent?,a59719696
7992,Chicken Pox despite vaccine!,a62750686
7993,Polio Vaccine,a43857130
7994,2 month vaccines FTM please HELP,a55616641
7995,new to vaccine research,a16219515
7996,Question for Vaccinating baby wearers,a63425185
7997,My vaccinated kid brought home...,a49504798
7998,Utilitarian principles vs. Kantian principles with vaccine compliance,a48029674
7999,1998 Study on Autism and the MMR Vaccine Retracted,a21479923
8000,MMR vaccine,a62362597
8001,Vaccines struggles,a42736102
8003,Rotavirus vaccine reaction?,a64447471
8005,Anyone that knows a lot about dogs...,a66754855
8006,DH is arguing not getting the Tdap/whooping cough vaccination,a48439717
8009,Anyone else not going to vaccinate??,a30489593
8010,mom's vaccination viral message- 4 mth old son with whooping cough,a60084217
8011,Pertussis vaccine for adults,a44003578
8012,"""Toxins in Vaccines""?",a31672661
8013,Did your LO have any reactions to the MMR vaccine?,a45927565
8014,Please Help! They are taking away our rights as parents!,a29240287
8015,Warning...controversial,a14860465
8016,Just curious ..,a59753179
8017,Tdap vaccine for SO,a60803602
8018,Vaccine debates no more for me....,a47260888
8019,"Article ""Courts confirm that MMR vaccine causes Autism"".",a43642048
8020,Vaccines...,a40628248
8021,For those that get flu shots - wwyd?,a70112429
8023,Spreading Vaccinations Out...,a57495403
8024,Declined Tdap?,a66868813
8025,The toll of the anti-vaccination movement,a47314837
8027,Whooping Cough Poll,a61254352
8028,vaccines: for or against?,a47488750
8029,TDAP during pregnancy PLEASE HELP ME,a62584276
8030,interesting article on vaccination (POLL),a50751895
8032,Vaccines-couldn't have said it better myself!,a49039831
8033,Vaccines!!!,a58279942
8034,Vaccines ..,a53624776
8035,Any mommy's get the Tdap vaccine?,a50493643
8036,ER on her 8th Birthday. Need Prayer Warriors!,a68491465
8037,1 Year shots and Doctor Visit,a71213191
8038,Vaccines?,a45077359
8040,Feel really nervous for lo's 4 month vaccines :(,a46443601
8041,Vaccinations for international travel?,a55504255
8042,If you plan on getting the Tdap vaccine,a66104989
8043,How did you react to the tdap vaccine?,a51428791
8044,Tdap Vaccine,a51200305
8046,"Eczema, do you vaccinate?",a55204162
8047,Purtussis vaccine?,a44518489
8048,My entire family won't get Tdap,a66075244
8049,News Story on our Local News,a26892281
8050,Baby's Vaccinations???,a36958078
8052,Is My Panic Unnecessary?,a71241673
8053,Rota Virus,a60164062
8054,Tdap Vaccine,a54033544
8056,Which arm to get TDAP vaccine in?,a59681179
8057,For those who delay/space vaccinations,a52858753
8059,This is not a vaccine debate,a59806129
8060,Rsv vaccine and schedule vaccines,a53782318
8061,Getting your kids vaccinated....,a31897453
8062,Whooping cough at 29 weeks,a69121310
8063,mmr vaccine,a40102933
8064,My vaccine philosophy,a25816081
8066,1 month old check up =\-vaccines.,a43064323
8067,How did your LO do with 2 month vaccines?,a58925395
8068,Daycare before vaccines? :(,a62178982
8069,All the more reason to vaccinate!! Cancer killed by measles vax,a49806829
8070,Anyone NOT doing vaccines? Reasons?,a50807641
8071,Vaccines darnit!!!! Rant,a58797202
8073,Soo conflicted about 2 month vaccines.,a53363596
8074,vaccinations....,a52736431
8075,vaccines and reflux (LONG),a28308573
8076,mom's who chose not to vaccinate,a40298899
8077,Gardasil *long*,a61603537
8078,Fever after vaccines! Please help.,a46370065
8079,Family being reluctant about TDaP shots...,a48265924
8080,Whooping Cough,a67002574
8081,Side effects from tdap?,a69144650
8084,I HATE VACCINES!!!!,a28129111
8085,non-vaccinating mothers,a29581807
8086,Can I take flu shot and TB shot,a68770540
8090,Pro or Anti Vaccine?,a26988487
8091,All these vaccine posts!..,a43982476
8092,Vaccines & poop? Help pic *update sorta*,a53543071
8093,What's Happening Wednesday - Rules for visiting,a69958136
8094,What can I do to ease lo's discomfort after vaccinations?,a55063993
8095,Reflux flare up after vaccinations (potential trigger),a68653309
8096,fluoride and vaccines,a32756309
8097,Anybody seen these people?,a68679472
8098,Worried after 4 month vaccines,a61564648
8099,whooping cough vaccine???,a51925138
8100,How vaccines cause Autism.,a47479939
8101,Question for those who delay vaccinations,a56624272
8102,"My ex, the father.",a68105515
8108,how long until you bring your newborn around other people and TDAP/Pertussis vaccine,a55780039
8109,MMR vaccine side effects...,a54282073
8110,"Religion, politics, and....vaccinations",a52947643
8111,Question for mamas who selectively vaccinate or delay vaccines,a36528151
8112,can I? Will I get an answer?,a55240930
8113,Trigger Link:Meningitis B vac.available but not given to babies in US. Huge UK uproar what about US?,a61585204
8114,Green mucus like Poop After Rotavirus Vaccine?,a69496958
8115,Rotavirus vaccine,a62386390
8116,A different Tdap question,a68241418
8117,Vaccination Questions..,a49698835
8118,"NAD: Another friendly reminder about why you shouldn't do ""research"" on anti vaccine pages",a53138491
8119,Non-Immune to Rubella,a69948512
8121,New baby during flu season,a66352552
8122,ugh what would you do?,a67742329
8123,Poll about Vaccinated vs Non-Vaccinated,a23263151
8124,Vaccination confusion,a40643443
8125,Lifecycle of a Birth Board,a66112612
8127,Vaccines...,a55158724
8129,Has anyone gotten the flu vaccine and got sick ?,a54454813
8130,Does your daycare require vaccinations?,a54338341
8132,Chicken Pox!!!,a59634688
8133,TDAP Vaccine,a59611813
8135,Whooping Cough Vaccine??,a59444284
8137,Whooping cough vaccine?,a57744280
8138,Screen time for babies.,a67961500
8139,Chicken pox even with vaccine?,a50595838
8141,Children 12 & older getting STD Vaccines w/out parental consent?,a29146947
8143,Second round of vaccines already?,a65690128
8146,Alternate Vaccine Schedule.. Anyone doing this?,a51211702
8147,OT: 5 y/o is terrified to get Kindergarten vaccines.,a42301438
8148,Uhoh....kissed baby after rotavirus vaccine!,a29413225
8149,Redness after vaccinations *UPDATE in comments*,a51766732
8150,Vaccine question. No fighting.,a49122103
8151,Do vaccines cause autism?,a43304548
8152,1 yr old vaccines creeping up...anyone delaying or spreading out?,a25766631
8153,2 month vaccine visit,a53199166
8155,Anti-Vax Relatives,a57108922
8156,vaccination vent,a48977212
8157,Vaccines for family members,a58913761
8158,WWYD Poll: Starting preschool and newborn,a64169407
8159,DON'T VACCINATE YOUR BABY!,a39503407
8162,Whooping Cough Vaccine,a58326844
8163,Anyone else doing selective vaccinations?,a39373057
8164,Who had TDAP vaccine this pregnancy?,a49147630
8166,TB (aka tuberculosis vaccination) advice??,a61079317
8167,When to go out with new baby,a68414839
8168,tdap vaccine?,a45504985
8169,The Consequences of Refusing Vaccines,a42517087
8170,WFD Monday february 26th,a68745970
8171,Vaccinations,a51990430
8172,MIL anti-vac.,a64031248
8173,Babies first vaccines,a62290987
8174,HIPAA question,a64992514
8175,2 month vaccines...,a52362304
8176,Dtap vaccine question,a60455473
8177,I would just like to share this article on vaccinations...,a49035058
8178,Breastfed babies poop after vaccines *pic*,a63226909
8179,Rotavirus,a69550967
8180,Flu vaccines and family members and visitors,a37960552
8181,what are the religions that don't believe in vaccines?,a17713435
8182,Tdap vaccination,a58449097
8183,Why not vaccinating?,a30212013
8184,RH negative- rogam vaccine and glucose test,a57076606
8185,Whooping cough vax,a39983686
8187,Curious - What are your thoughts about tDap vaccine before baby comes?,a54699415
8188,I hate how some think vaccinations are toxins. Toxins that can potentially save my LO is OK for me!,a50424274
8189,Did any of you???,a59308234
8191,High fever from MMR vaccine :(,a35083114
8192,Yet another 2 months vaccines post.,a55899472
8193,ATTN: *Breast Pump Aficionados* (ie not vaccine or circumcision thread),a50271070
8194,vaccines during pregnancy?,a49390600
8196,6 month vaccines/ Any reaction?,a54245689
8197,Is 37.7 rectal a fever? 6 days after vaccine,a62995219
8198,non vaccinated infant in my child's daycare,a44518108
8199,Bump on thigh. From vaccination?,a67334635
8200,Vaccines and sleepiness,a63881800
8201,not vaccinating? Read this. *trigger?*,a42569836
8202,TDAP shot - before or after baby?,a67833649
8203,Considerations with Vaccinations,a32677669
8204,2 month vaccinations and baby is screaming :(,a51678628
8205,MMR VACCINE,a42996418
8206,2 months vaccines,a57506323
8207,Vaccine Question,a56230735
8209,Flu,a73205287
8211,"Vaccine Injection site swelling ""not a reaction""",a47821807
8212,Is anyone getting vaccinated?,a40270858
8213,1 month vaccines?,a60315325
8214,Experimental MMR vaccine?*rant*,a52716436
8216,Traveling to all inclusive,a70799731
8218,Question for mommas who don't vaccinate.,a52031662
8219,Vaccines at three months,a61857913
8220,NOT A VACCINE DEBATE. but a question.,a50061364
8223,Delayed vaccinations??,a64609750
8225,Pro-choice and pro-vaccination choice?,a39686257
8226,"Flu Vaccine-- Did you get it and if so, did you ask for it to be thimerosal free (mercury free)?",a52875337
8228,Autism not linked to Vaccines,a49901572
8229,What vaccines are you rejecting for LO? (Not a debate post!),a44686219
8230,Anyone have any experience with the state vaccination exemption form and process?,a48580324
8231,Did you get your flu shot?,a30272967
8233,Hep A Vaccine??,a51425077
8234,Anyones lo randomly started pooping more?,a71276269
8235,Would you want to know? Poll.,a66591781
8237,ani vaccination moms question?,a47322184
8238,What all should dad be vaccinated for before baby arrives?,a61673389
8239,Vaccines,a40334902
8240,For mums that are vaccinating...,a50874436
8241,FTM here and already terrified and frustrated,a70485800
8242,No rotavirus vax??,a56036164
8243,Family/friends being vaccinated (whooping cough) before baby handling?,a51537184
8244,No chicken pox vaccine?,a39732847
8246,Chickenpox vaccine question,a42266218
8247,Tdap vaccine?,a49924135
8248,MMR vaccine... To give or not to give.,a34772959
8249,Has your spouse gotten the whooping cough vaccine?,a43160941
8250,any and all help would be great!,a73191358
8251,Equivocal blood draw?,a69157703
8252,UPDATE vaccine vent **trigger,a31654051
8253,Vaccines after birth?,a49616149
8254,Fussy baby after vaccination,a58975000
8255,Still deciding on to vaccinate or not... I am...,a43418494
8256,Parent's that do not vaccine or delay vaccines or just have questions!,a26952537
8257,Vaccination concerns and questions,a49963597
8259,Cat Vaccinations with Baby on Way?,a40657624
8261,Birth plans,a71278513
8262,Rotavirus vaccine side effects?,a62882920
8263,Did your LO get a flu vaccine this year?,a37056931
8264,first birthday and vaccines,a56883112
8266,I am so pissed!!!! TRIGGER,a54756895
8267,Flu vaccine to prevent autism?,a47765647
8270,Pro Vaccinations for baby or against???,a31291749
8271,dr. sears info on the swine flu,a15466245
8273,vaccine exemptions?,a64220791
8275,Sugar water for newborn?,a67137667
8276,Vaccine side effects opinions please,a52493416
8277,and you want using not to give their lo MMR vaccine,a41960767
8278,Flu Vaccine-Poll included,a39126607
8279,Question about baby wrap/carriers AND vaccines,a57159604
8280,blowing up my FaceBook: sue parents who choose not to vaccinate???? ( leaving out medical exemptions),a55073527
8283,Tip for breastfeeding moms to prevent fever after vaccination,a61596370
8284,Chicken pox vaccine and red spot (picture),a62889934
8285,Vaccines in the news...,a33959809
8286,What shots did your LO get at two and three year doctor visits?,a68098582
8287,Vaccines Changed My Baby!!,a61017169
8288,"Delaying vaccinations, this is not a debate just need ideas !",a42129436
8290,Prenatal coverage- so confused and upset- need to rant,a66981193
8291,R U vaccinating your baby this month?????,a32592319
8294,Tips on how to keep lil one comforted after being vaccinated,a53743615
8295,I vaccinate and this is why,a30672335
8297,Vaccinations and insurance!,a59585989
8298,This is for mommy that are pro vaccines...,a52620865
8300,2 month appointment.... FTM very nervous,a69295280
8301,Vaccines are Stupid!!!!,a56242033
8303,2 month vaccine reactions similar to previous vaccine reactions?,a58917715
8304,S/O Gardisil Vaccine?,a26805557
8305,Do you get the flu vaccine?,a51039463
8306,"34, 39, 40, 49, 62, 64, 72, 73 BIL ,85 I'M back. 95 BOX! MIL PLANING TO UNLEASH HER INNER PSYCHO!!!",a64928647
8307,Mm r vaccine?,a52637902
8308,What vaccination schedule is everyone following?,a34165051
8309,Whooping Cough Vaccine,a58546357
8310,Tdap vaccine dilemma,a49124521
8311,Do I delay the mmr vaccine,a54975625
8312,On the fence about vaccinating?,a54127975
8314,my thoughts on the hep B vaccine,a52110280
8315,Pertussis (Whooping Cough) Vaccination,a52643020
8316,For Mom's who vaccinate,a29224525
8318,Vaccine Reaction,a61991365
8319,Vaccinations suggestion,a66414799
8321,Should I have been charged a co-pay for this well-child visit?,a55428628
8322,Any mothers-to-be taking vaccines during third trimester? Is it safe?,a51029944
8323,First round of vaccines... and explosions!!,a61448431
8324,Tip if you plan to get TDAP/Flu Shot,a64304869
8326,Are you getting the Tdap vaccination while pregnant?,a42414904
8328,"Acetaminophen use, MMR, and autism study",a55092793
8329,Is my Doctor an Idiot? The whoopin cough vaccine...,a35602276
8330,Whooping Cough Vaccine!,a47775619
8331,Nervous about sleep training - 8 mo. current cosleeper,a69314831
8332,This is why I'm pro vaccines....,a42579193
8333,Rota virus vaccine,a51881230
8334,Cat People - Talk to me About Introducing 2 Cats,a71139913
8335,Toxicity expert becomes whistleblower - vaccines,a50422336
8336,Sids,a67736485
8338,Can my toddler get MMR if I'm pregnant?,a58325128
8339,Vaccines . .,a47957449
8340,Whooping cough vaccination?,a47314999
8341,How do you teach a cat how to cat?,a66475258
8342,Is anyone delaying the hepB vaccine right after birth?,a54618922
8344,Vaccines,a37115512
8346,whooping cough vaccine?,a46751704
8347,Question about Vaccinations....,a59486818
8348,A mother's letter.,a55358242
8349,Fever 4 days in a row after MMR,a68491216
8350,Tylenol before vaccines,a63033775
8351,"Vaccinations, circumcision, breastfeeding, cosleeping, baby wearing...",a38242381
8352,How many vaccines for 9 month check up?,a61700305
8353,"Totally ot, but anyone's kids have reaction at site of vaccine?",a50653798
8354,MMR vaccine broke my baby!,a54549004
8355,Vaccines,a37181752
8356,Whooping Cough Vaccination...You getting it??,a40900258
8357,article: Women should get whooping cough vaccine during pregnancy not after giving birth,a29735463
8358,Italian Court Rules MMR Vaccine Caused Autism,a34428700
8359,Diagnose my baby...doctors are unsure,a66901183
8360,Tetanus/Whooping cough vaccine?,a55786222
8361,Get ready group owners!,a63029698
8365,tDap,a69352103
8366,Still undecided about Rotovirus Vaccine,a48862294
8367,whooping cough vaccine(possible trigger),a43917085
8368,Vaccines...,a49581565
8369,Not trying to start a debate- FTM just curious why some of you are not vaccinating your LO??,a43675072
8370,4 month vaccines side effects please help.,a56494879
8372,Why not vaccinate?,a32679813
8373,vaccines after possible reaction,a50533264
8374,Did you vaccinate your October baby?,a45061264
8375,Spacing out vaccines and which ingredients to avoid (Mercury and perservatives)?,a61144834
8376,He will snap out of it,a64861732
8377,Flu shot pressure,a67539253
8378,vaccines,a34047643
8379,Whose gettingthe Tdap vaccine before delivery?,a37385338
8381,Family wedding craziness - what should I do?!,a69313760
8383,Doctors get bonuses for meeting vaccination quotas...,a32540445
8384,fever after vaccinations - how long,a57052405
8386,Question about the vaccination process for 2 month shots?,a57915517
8388,Pro-Vaccine Mamas: how long will you wait to let little one around anti-vaxers?,a56412559
8389,vaccinations?,a36882559
8391,Do you vaccinate your pet?,a33445957
8392,Did you get the TDAP vaccination shot?,a50252431
8393,Are you doing vaccinations? poll not a debate,a48504637
8394,I'm not vaccinating!!!!,a48987943
8395,Wonderful explanation of why we should vaccinate. Do with it what you will :),a44820472
8397,Vaccinations Lead to Drug addiction!!!,a50223595
8398,Will you vaccinate your child?? Yes/No/Some Vaccines,a3533715
8399,Pediatricians banning non vaccinated kids from practice,a29217511
8400,Vaccine/family drama,a55426819
8402,Nurse confirmed my worries about vaccinations today...,a26021445
8403,Mmr vaccine last monday,a57359521
8404,Why you should vaccinate...,a50150227
8406,Tamilflu,a71181220
8407,Dr. wants me to get a vaccine,a43659559
8408,Vaccines for mommy while breastfeeding 9mo.,a61828279
8409,polio vaccine?,a49182319
8410,FTM- whopping cough vaccine,a43727524
8411,What's Happening Wednesday - Choosing a pediatrician,a68343538
8414,What's the controversy about getting the flu vaccine when pregnant?,a38975530
8415,Walking funny after vaccines?,a55219423
8416,HELPPPP!!!,a68209483
8418,whooping cough vaccine poll,a35052787
8419,Vaccinations & allergic babes,a60920296
8420,My son has been sick for 11 days...,a58014373
8421,Vaccination: A Daughter's Plea long,a50629780
8422,2 month old vaccination question,a60325189
8423,Kids That Aren't Vaccinated Are a Risk!,a36568492
8424,Vaccinations....what exactly is the reason for not doing them or delaying them? FTM,a36991102
8425,Vaccination Argument.,a45576358
8426,Dr Appointment today!,a68510041
8427,Medical Journal retracts claims linking autism to vaccinations,a30657225
8429,Grumbling...sore arms from vaccines,a64294411
8431,2 Month Vaccines,a51316570
8432,Everyone Who's Ever Considered Not Vaccinating Their Baby Needs to Read This *trigger*,a61580950
8433,Vaccination schedule?,a50349622
8434,Hep b vaccine?,a54591598
8435,the woes of Facebook and vaccine arguments.,a49090801
