,sent,c_id,comment_author,thread_id,comment_date,pattern_matched,text_short,negations,amod_subj_xcomp_lemma,amod_subj_xcomp_lower,compound_subj_xcomp_lemma,compound_subj_xcomp_lower,pos_subj_xcomp_lemma,pos_subj_xcomp_lower,subject_xcomp_lemma,subject_xcomp_lower,verb_xcomp_lemma,verb_xcomp_lower,verb_phrase_xcomp,verb_tense_xcomp,amod_subj_lemma,amod_subj_lower,compound_subj_lemma,compound_subj_lower,pos_subj_lemma,pos_subj_lower,subject_lemma,subject_lower,subject_active,verb_lemma,verb_lower,verb_phrase,verb_tense,dobj_amod_lemma,dobj_amod_lower,compound_dobj_lemma,compound_dobj_lower,pos_dobj_lemma,pos_dobj_lower,dobj_lemma,dobj_lower
1739,"i would take the offered vax for myself, yes, and try to pass on the immunity even if i planned to delay vaxes to my kid.",c2016372886,elenfair,a4724715,01/26/2009,delay_verbs,i planned to delay vaxes,1,,,,,,,i,i,plan,planned,planned,PastSimple,,,,,,,,,,delay,delay,to delay,Infinite,,,,,,,vaxe,vaxes
1740,"i did not do a delayed schedule with my dear daughter she got everything that the dr said for her to get, however with my dear son he had the delayed vaccination schedule the one that dr sears suggested.",c2230582175,SONIADENISE,a24807935,10/22/2010,schedule_noun,i did not do a delayed schedule,-1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,do,do,did do,PastSimple,delay,delayed,,,,,schedule,schedule
1741,"i did not do a delayed schedule with my dear daughter she got everything that the dr said for her to get, however with my dear son he had the delayed vaccination schedule the one that dr sears suggested.",c2230582175,SONIADENISE,a24807935,10/22/2010,schedule_noun,he had the delayed vaccination schedule,1,,,,,,,,,,,,,,,,,,,he,he,ACTIVE,have,had,had,PastSimple,,,vaccination,vaccination,,,schedule,schedule
1742,it is not selfish to disagree with an opinion on vaccines and their schedule.,c2451533458,pdxmama2B,a48974662,04/07/2014,schedule_noun,it is not selfish to disagree with an opinion on vaccines and their schedule,-1,,,,,,,it,it,be,is,is,PresentSimple,,,,,,,,,,disagree,disagree,to disagree,Infinite,,,,,their,their,schedule,schedule
1743,"we use dr sear's alternative schedule, and i am very happy with it.",c2032166001,MammaB,a8572655,05/03/2009,schedule_noun,we use dr sear's alternative schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,use,use,use,PresentSimple,alternative,alternative,,,sear,sear,schedule,schedule
1744,i delay to protect my kids from the potential reactions that they will receive but then worry they will catch them in the time we are delaying.,c2447639164,emsutten,a48172984,03/02/2014,delay_verbs,i delay,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delay,delay,PresentSimple,,,,,,,,
1745,i delay to protect my kids from the potential reactions that they will receive but then worry they will catch them in the time we are delaying.,c2447639164,emsutten,a48172984,03/02/2014,delay_verbs,we are delaying,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,delay,delaying,are delaying,PresentContinuous,,,,,,,,
1746,"also, one of the reasons why a schedule is built into well child visits is because it is an easy to get compliance with a vaccine schedule and vaccinate as many people as possible.",c2559307366,Lulita0710,a67179394,08/11/2017,schedule_noun,it is an easy to get compliance with a vaccine schedule,1,,,,,,,it,it,be,is,is,PresentSimple,,,,,,,,,,get,get,to get,Infinite,,,vaccine,vaccine,,,schedule,schedule
1747,"i have asked for hep lock, intermittent monitoring, ability to eat and drink, mobility, delayed clamping, natural delivery of placenta, let me ask for meds , immediate skin-to-skin, delayed newborn procedures.",c2396051480,bontogirly,a36555193,09/21/2012,delay_verbs,delayed newborn procedures,1,,,,,,,,,,,,,,,,,,,,,PASSIVE,delay,delayed,delayed,PastSimple,newborn,newborn,,,,,procedure,procedures
1748,we do an alternative vaccination schedule and i do not believe vaccines cause autism.,c2406022706,delatierra,a38871571,12/31/2012,schedule_noun,we do an alternative vaccination schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,do,do,do,PresentSimple,alternative,alternative,vaccination,vaccination,,,schedule,schedule
1749,she has a big bouncing 6 month old now who has received all her shots on the recommended cdc schedule.,c2464822466,BabyAppel2,a51604972,08/09/2014,schedule_noun,who has received all her shots on the recommended cdc schedule,1,,,,,,,,,,,,,,,,,,,who,who,ACTIVE,receive,received,has received,PresentPerfect,recommend,recommended,cdc,cdc,,,schedule,schedule
1750,i vaccinate but delay first shot until two month check up.,c2512125701,bernadetteoc,a59630395,10/21/2015,delay_verbs,i vaccinate but delay,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delay,delay,Infinite,,,,,,,,
1751,if my sister-in-law tried convincing me to switch hospitals or to not vaccinate and go off the schedule i would not talk to her anymore.,c2533521640,BryanaTheNerd,a63029227,06/11/2016,schedule_noun,go off the schedule,1,,,,,,,,,,,,,,,,,,,,,PASSIVE,go,go,go,Infinite,,,,,,,schedule,schedule
1752,"just because there is one post about select and delay vaxes, that does not mean that vaxers need to put up posts about no connection with autism and vaxes and try to defend their choices.",c2111162133,cokiemnster,a21480675,02/02/2010,delay_verbs,delay,1,,,,,,,,,,,,,,,,,,,,,PASSIVE,delay,delay,delay,Infinite,,,,,,,,
1753,i am trying to find opinions that are good and bad on delaying and not delaying.,c2555466197,ZeeksMommi,a66546103,05/27/2017,delay_verbs,delaying,1,,,,,,,,,,,,,,,,,,,,,PASSIVE,delay,delaying,delaying,Gerundive,,,,,,,,
1754,our pediatrician group requires you to sign a form stating that you will follow the recommended schedule or you will have to find a new doctor.,c2509024950,GiaMiranda,a59148223,09/22/2015,schedule_noun,you will follow the recommended schedule,1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,follow,follow,will follow,Future,recommend,recommended,,,,,schedule,schedule
1755,this was not an issue for us since we plan to follow the regular schedule anyway.,c2509024950,GiaMiranda,a59148223,09/22/2015,schedule_noun,we plan to follow the regular schedule,1,,,,,,,we,we,plan,plan,plan,PresentSimple,,,,,,,,,,follow,follow,to follow,Infinite,regular,regular,,,,,schedule,schedule
1756,moreso because we were on a delayed schedule back at our last duty station but still... do your research and do what is best for your baby.,c2200321243,norah10Apr07,a24008211,08/22/2010,schedule_noun,we were on a delayed schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,be,were,were,PastSimple,delayed,delayed,,,,,schedule,schedule
1757,we do a delayed schedule and selective vaxing for our kids.,c2087706407,BNLeuck,a19267295,12/01/2009,schedule_noun,we do a delayed schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,do,do,do,PresentSimple,delayed,delayed,,,,,schedule,schedule
1758,"at best, they step carefully around the subject of non-vaxing and delayed vaxing, at worst they refuse to consider it at all.",c2087706407,BNLeuck,a19267295,12/01/2009,delay_verbs,they step carefully around the subject of non-vaxing and delayed,1,,,,,,,,,,,,,,,,,,,they,they,ACTIVE,delay,delayed,delayed,PastSimple,,,,,,,,
1759,"healthy children with healthy immune systems who are not a risk factor for someone else who has a comprimised immune system, do not usually need to be vaxed on schedule.",c2087706407,BNLeuck,a19267295,12/01/2009,schedule_noun,"healthy children with healthy immune systems who are not a risk factor for someone else who has a comprimised immune system, do not usually need to be vaxed on schedule",1,healthy,healthy,,,,,child,children,need,need,do need,PresentSimple,,,,,,,,,,vaxe,vaxed,to be vaxed,Infinite,,,,,,,schedule,schedule
1760,i am delaying some of them- polio and mmr because they have more junk in them and he is not in daycare.,c2255391500,kitesurfmom,a25409357,12/08/2010,delay_verbs,i am delaying some,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delaying,am delaying,PresentContinuous,,,,,,,some,some
1761,"i keep reading on here that many do not like the current dosing schedule, but each day our babies",c2371505968,elzbietah,a31407601,01/27/2012,schedule_noun,many do not like the current dosing schedule,-1,,,,,,,,,,,,,,,,,,,many,many,ACTIVE,like,like,do like,PresentSimple,current,current,dose,dosing,,,schedule,schedule
1762,a lot of the new vaccines or the new schedule have have not been around long enough to know the long term affects.,c2556836396,AliroseATL,a66765049,06/23/2017,schedule_noun,lot of the new vaccines or the new schedule have have not been,-1,,,,,,,,,,,,,,,,,,,lot,lot,ACTIVE,be,been,have have been,PresentPerfect,new,new,,,,,schedule,schedule
1763,"i have had 2 girls since then but would not have circed if one of them was a boy, we now selectively and delay vaccinate, and i breastfeed for 12+ months, we rear face until 2+ and i birth naturally outside of hospitals.",c2473447967,LoveMyMoos,a53208622,10/28/2014,delay_verbs,we now selectively and delay,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,delay,delay,delay,Infinite,,,,,,,,
1764,"it is possible to be responsible, to take precautions and delay and selectively vax as well.",c2067335849,ethan~christian~emma,a15898235,09/29/2009,delay_verbs,delay,1,,,,,,,,,,,,,,,,,,,,,PASSIVE,delay,delay,delay,Infinite,,,,,,,,
1765,i space them out so they only receive 1 injection per visit.,c2437298851,reeniebreenie,a46007629,11/25/2013,delay_verbs,i space them,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,space,space,space,PresentSimple,,,,,,,them,them
1766,i also delay hepp b until before school,c2437298851,reeniebreenie,a46007629,11/25/2013,delay_verbs,i also delay hepp b,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delay,delay,PresentSimple,,,hepp,hepp,,,b,b
1767,i think some people delay the shot that contains the tetanus.,c2552379856,Intuitivestarmom,a66061792,03/31/2017,delay_verbs,people delay the shot,1,,,,,,,,,,,,,,,,,,,people,people,ACTIVE,delay,delay,delay,PresentSimple,,,,,,,shot,shot
1768,i did not feel ok injecting my 1 day old baby with a virus so i am delaying it until 2 months or so.,c2521033240,skarida5,a61079317,01/20/2016,delay_verbs,i am delaying it,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delaying,am delaying,PresentContinuous,,,,,,,it,it
1769,"i did delayed schedule with my first, separated schedule with my second.",c2568291341,bailers07,a68736034,02/24/2018,schedule_noun,i did delayed schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delayed,did delayed,PastSimple,,,,,,,schedule,schedule
1770,"i did delayed schedule with my first, separated schedule with my second.",c2568291341,bailers07,a68736034,02/24/2018,schedule_noun,"i did delayed schedule with my first, separated schedule",1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delayed,did delayed,PastSimple,"separated, first","separated, first",,,my,my,schedule,schedule
1771,"i did delayed schedule with my first, separated schedule with my second.",c2568291341,bailers07,a68736034,02/24/2018,delay_verbs,i did delayed schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delayed,did delayed,PastSimple,,,,,,,schedule,schedule
1772,if you want to pick the brains of people who have decided to delay or not vaccinate at all this is a good board - community.babycenter.com and groups and a23...,c2568291341,bailers07,a68736034,02/24/2018,delay_verbs,who have decided to delay,1,,,,,,,who,who,decide,decided,have decided,PresentPerfect,,,,,,,,,,delay,delay,to delay,Infinite,,,,,,,,
1773,we are doing it at 1 three mos and delaying chicken pox vax,c2428482563,jennyd142,a43979662,08/16/2013,delay_verbs,we are doing it at 1 three mos and delaying chicken pox vax,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,delay,delaying,delaying,Gerundive,,,"chicken, pox","chicken, pox",,,vax,vax
1774,i did an alternating schedule of pentacel and prevnar for my two .,c2427609927,Middle Roader,a43683901,08/07/2013,schedule_noun,i did an alternating schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,do,did,did,PastSimple,alternate,alternating,,,,,schedule,schedule
1775,we can help you come up with a schedule that you feel is right for you.,c2427609927,Middle Roader,a43683901,08/07/2013,schedule_noun,you come up with a schedule,1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,come,come,come,Infinite,,,,,,,schedule,schedule
1776,your dr will space them if you ask and are willing to make the additional trips to the office.,c2230647331,CWHITENJ,a24784595,10/22/2010,delay_verbs,your dr will space them,1,,,,,,,,,,,,,,,,,your,your,dr,dr,ACTIVE,space,space,will space,Future,,,,,,,them,them
1777,"we vaccinate on the dr sears schedule so she basically gets them on time, but we go into the office more often so she does not get them all at once.",c2384763202,penelopestripe,a33824179,06/02/2012,schedule_noun,we vaccinate on the dr sears schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,vaccinate,vaccinate,vaccinate,PresentSimple,,,,,,,schedule,schedule
1778,we do delayed vaccines.,c2460629991,ohanapecosh,a50783662,07/01/2014,delay_verbs,we do delayed vaccines,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,delay,delayed,do delayed,PresentSimple,,,,,,,vaccine,vaccines
1779,we will also split the chicken pox and measles vaccines.,c2460629991,ohanapecosh,a50783662,07/01/2014,delay_verbs,we will also split the chicken pox,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,split,split,will split,Future,,,"chicken, measle","chicken, measles",,,"pox, vaccine","pox, vaccines"
1780,we just do them one at a time and on a delayed extended schedule since my dear son had his horrible reaction.,c2422678076,Arfy77,a42517381,06/14/2013,schedule_noun,we just do them one at a time and on a delayed extended schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,do,do,do,PresentSimple,"extended, delay","extended, delayed",,,,,schedule,schedule
1781,if you are interested in a delayed vaccine schedule you should check out the vaccine book by dr sears or you can go to drsears.com.,c2133099397,Isabella80,a22141141,03/26/2010,schedule_noun,you are interested in a delayed vaccine schedule,1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,be,are,are,PresentSimple,delayed,delayed,vaccine,vaccine,,,schedule,schedule
1782,"i vaccinated my '08 dd on an alternative schedule but still have not decided what to do w/ this little guy... as for the vitamin k, b and c we plan to circ.",c2328584418,kamm1017,a27245901,04/13/2011,schedule_noun,i vaccinated my '08 dd on an alternative schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,vaccinate,vaccinated,vaccinated,PastSimple,alternative,alternative,,,,,schedule,schedule
1783,"i delay some vaccinations, but that is about it.",c2537276597,Ccarter88,a63625042,08/01/2016,delay_verbs,i delay some vaccinations,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delay,delay,PresentSimple,,,,,,,vaccination,vaccinations
1784,i got already recommendations from friends who did an alternative and flexible vaccine schedule,c2391700177,IrenePacificBeach,a35516998,08/08/2012,schedule_noun,who did an alternative and flexible vaccine schedule,1,,,,,,,,,,,,,,,,,,,who,who,ACTIVE,do,did,did,PastSimple,"flexible, alternative","flexible, alternative",vaccine,vaccine,,,schedule,schedule
1785,"but you are still planning on it, just behind the normal schedule.",c2488852089,halo104,a55836196,03/17/2015,schedule_noun,"you are still planning on it, just behind the normal schedule",1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,plan,planning,are planning,PresentContinuous,normal,normal,,,,,schedule,schedule
1786,"we delay and selectively vax so that we can monitor for vaccine reactions more carefully and know what causes the reaction if there is one, and make approprite choices about whether or not to continue with a particular vaccine if there is a reaction.",c2162203641,MrsCayne,a22906567,05/26/2010,delay_verbs,we delay,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,delay,delay,delay,PresentSimple,,,,,,,,
1787,that is why i do not delay vaccines.,c2548238327,Nat924,a65369707,01/18/2017,delay_verbs,i do not delay vaccines,-1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delay,do delay,PresentSimple,,,,,,,vaccine,vaccines
1788,we did and are doing a delayed schedule.,c2424893313,KittyRedden,a43145650,07/09/2013,schedule_noun,we did and are doing a delayed schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,do,doing,are doing,PresentContinuous,delay,delayed,,,,,schedule,schedule
1789,"i vaccinate, but space them out so faith only gets one at a time.",c2064048684,6littlenewcombs,a15284725,09/17/2009,delay_verbs,"i vaccinate, but space them",1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,space,space,space,Infinite,,,,,,,them,them
1790,i am also following the cdc schedule.,c2442426562,winterbabies4me,a47103214,01/16/2014,schedule_noun,i am also following the cdc schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,follow,following,am following,PresentContinuous,,,cdc,cdc,,,schedule,schedule
1791,assuming you are going by the normal schedule,c2353775760,mamamrizo,a28603843,07/20/2011,schedule_noun,you are going by the normal schedule,1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,go,going,are going,PresentContinuous,normal,normal,,,,,schedule,schedule
1792,but i trust my child's pediatrician and the schedule they think is best.,c2187528154,kaf1006,a23624423,07/23/2010,schedule_noun,child's pediatrician and the schedule they think is,1,,,,,,,,,,,,,,,,,child,child,pediatrician,pediatrician,ACTIVE,be,is,is,PresentSimple,,,,,,,schedule,schedule
1793,"later, when i told my dear son's ped that i wanted to do dr sears' alternative vaccination schedule he gave me a hard time and basically accused me of being overly emotional and putting my son at risk.",c2356656699,violet_rose224,a29041247,08/20/2011,schedule_noun,i wanted to do dr sears' alternative vaccination schedule,1,,,,,,,i,i,want,wanted,wanted,PastSimple,,,,,,,,,,do,do,to do,Infinite,alternative,alternative,vaccination,vaccination,sears,sears,schedule,schedule
1794,"i followed dr sears schedule with my first ds because of the same reasons others said, plus i had a family history of autoimmune issues.",c2541867371,edenfam,a64365577,10/06/2016,schedule_noun,i followed dr sears schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,follow,followed,followed,PastSimple,,,sears,sears,,,schedule,schedule
1795,4 years after my first ds had his reactions i have this little one and the tons of research i have done tells me i will delay with him until i find a comfortable schedule.,c2541867371,edenfam,a64365577,10/06/2016,schedule_noun,i find a comfortable schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,find,find,find,PresentSimple,comfortable,comfortable,,,,,schedule,schedule
1796,4 years after my first ds had his reactions i have this little one and the tons of research i have done tells me i will delay with him until i find a comfortable schedule.,c2541867371,edenfam,a64365577,10/06/2016,delay_verbs,i will delay,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delay,will delay,Future,,,,,,,,
1797,"despite what others will say on this board, it has not unheard of for pediatricians to delay vaccines.",c2541867371,edenfam,a64365577,10/06/2016,delay_verbs,pediatricians to delay vaccines,1,,,,,,,,,,,,,,,,,,,pediatrician,pediatricians,ACTIVE,delay,delay,to delay,Infinite,,,,,,,vaccine,vaccines
1798,"for us it has 3 shots, all spaced 4 weeks apart.",c2441889443,shhh.baby,a47019229,01/12/2014,delay_verbs,all spaced,1,,,,,,,,,,,,,,,,,,,all,all,ACTIVE,space,spaced,spaced,PastParticipe,,,,,,,,
1799,"though some kids never get a fever or need tylenol following the regular vaccine schedule, it was just more comfortable for us to spread them out.",c2496516891,leanne3185,a57101284,05/26/2015,schedule_noun,kids never get a fever or need tylenol following the regular vaccine schedule,-1,,,,,,,,,,,,,,,,,,,kid,kids,ACTIVE,need,need,need,PresentSimple,regular,regular,vaccine,vaccine,,,schedule,schedule
1800,"""many parents who refuse or delay vaccines count on herd immunity from other families vaccinating their kids on time,"" ^^this - this is what makes me want to scream.",c2229110154,SugarnSpicexs4,a24779215,10/21/2010,delay_verbs,who refuse or delay vaccines count,1,,,,,,,,,,,,,,,,,,,who,who,ACTIVE,delay,delay,delay,Infinite,,,vaccine,vaccines,,,count,count
1801,"we have been vaxing on schedule for the most part, though we opted out of the flu shot and the hep a shot... did not feel that it was necessary at the time, in addition to the fact that i felt uncomfortable with the number of shots and vaxs being given at that particular visit.",c2349833387,xenagirl4711,a28004697,06/07/2011,schedule_noun,we have been vaxing on schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,vaxe,vaxing,have been vaxing,PerfectContinuous,,,,,,,schedule,schedule
1802,"we already live in asia, so we have delayed some vaccines but not the highest risk diseases.",c2408414536,shannacarter,a39349153,01/22/2013,delay_verbs,we have delayed some vaccines but not the highest risk,-1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,delay,delayed,have delayed,PresentPerfect,high,highest,risk,risk,,,"vaccine, disease","vaccines, diseases"
1803,"pros: protection against very serious diseases that have not been eradicated and a valuable contribution to herd immunity which is important for children and adults who cannot receive vaccines for medical reasons cons: the side effects, exposure to some iffy ingredients i was going to do the recommended schedule but because bunny has had a hard time with side effects, i am going to do a delayed schedule even if it means switching to a university doctor.",c2418960922,Rabbit In Wonderland,a41816644,05/06/2013,schedule_noun,i was going to do the recommended schedule,1,,,,,,,i,i,go,going,was going,PastContinuous,,,,,,,,,,do,do,to do,Infinite,recommend,recommended,,,,,schedule,schedule
1804,"pros: protection against very serious diseases that have not been eradicated and a valuable contribution to herd immunity which is important for children and adults who cannot receive vaccines for medical reasons cons: the side effects, exposure to some iffy ingredients i was going to do the recommended schedule but because bunny has had a hard time with side effects, i am going to do a delayed schedule even if it means switching to a university doctor.",c2418960922,Rabbit In Wonderland,a41816644,05/06/2013,schedule_noun,i am going to do a delayed schedule,1,,,,,,,i,i,go,going,am going,PresentContinuous,,,,,,,,,,do,do,to do,Infinite,delayed,delayed,,,,,schedule,schedule
1805,i still choose to vax on schedule but i am always a little nervous about another reaction.,c2379963014,newmama062010,a32778919,04/20/2012,schedule_noun,i still choose to vax on schedule,1,,,,,,,i,i,choose,choose,choose,PresentSimple,,,,,,,,,,vax,vax,to vax,Infinite,,,,,,,schedule,schedule
1806,"we do a delayed schedule also, no more than 2 per visit.",c2402653439,1_time_momma,a38113012,11/27/2012,schedule_noun,we do a delayed schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,do,do,do,PresentSimple,delayed,delayed,,,,,schedule,schedule
1807,they only reason we are going to delay starting the heb b shot until 2 months is because we are both at very low risk for having heb b.,c2406183044,lily324,a38897176,01/02/2013,delay_verbs,we are going to delay,1,,,,,,,we,we,go,going,are going,PresentContinuous,,,,,,,,,,delay,delay,to delay,Infinite,,,,,,,,
1808,i loosely followed dr sears schedule for an alternative schedule.,c2110587042,lovemomlife,a21458075,02/01/2010,schedule_noun,i loosely followed dr sears schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,follow,followed,followed,PastSimple,,,sears,sears,,,schedule,schedule
1809,i loosely followed dr sears schedule for an alternative schedule.,c2110587042,lovemomlife,a21458075,02/01/2010,schedule_noun,i loosely followed dr sears schedule for an alternative schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,follow,followed,followed,PastSimple,alternative,alternative,,,,,schedule,schedule
1810,"looked at what she already had, when, the usual spacing, the amount of alimnum, and spaced it out that way.",c2473965537,Lovetrap77,a53285311,11/02/2014,delay_verbs,spaced it,1,,,,,,,,,,,,,,,,,,,,,PASSIVE,space,spaced,spaced,PastSimple,,,,,,,it,it
1811,"i think we are leaning towards the vax or slightly-delayed-schedule vax side of things, but we have not fully done our homework yet.",c2378150611,thinkonit,a32485255,04/03/2012,schedule_noun,we are leaning towards the vax or slightly-delayed-schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,lean,leaning,are leaning,PresentContinuous,delay,delayed,,,,,schedule,schedule
1812,"also, make sure you write out the schedule with them, just very important for you to have as well, as i am sure you already know",c2071189753,dvani25,a16504775,10/12/2009,schedule_noun,you write out the schedule,1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,write,write,write,PresentSimple,,,,,,,schedule,schedule
1813,even when i delayed and skipped vaccines i always got the dtap.,c2522550796,Buttercupp4,a61317946,02/04/2016,delay_verbs,i delayed,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delayed,delayed,PastSimple,,,,,,,,
1814,her 4m shots were delayed because she was sick so the office scheduled them to be an appropriate amount of time apart.,c2557039692,Amyjoy62,a66802984,06/28/2017,delay_verbs,her 4m shots were delayed,1,,,,,,,,,,,,,,,m,m,her,her,shot,shots,PASSIVE,delay,delayed,were delayed,PastPassive,,,,,,,,
1815,i delayed her mmr until 2 and she got that one on its own.,c2472838735,Danielle1224,a53097808,10/22/2014,delay_verbs,i delayed her mmr,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delayed,delayed,PastSimple,,,,,her,her,mmr,mmr
1816,this time though my lo will get them on schedule because my oldest goes to preschool so i want him protected.,c2472838735,Danielle1224,a53097808,10/22/2014,schedule_noun,my lo will get them on schedule,1,,,,,,,,,,,,,,,,,my,my,lo,lo,ACTIVE,get,get,will get,Future,,,,,,,schedule,schedule
1817,-here is the aap 201 two vaccination schedule for the person who asked: and resources and izschedule0-6yrs.pdf i actually did speak with the doctor about it and she was kind of trying to convince me that the vaccines are necessary and safe.,c2372684607,wiggleit15,a31602755,02/08/2012,schedule_noun,-here is the aap 201 two vaccination schedule,1,,,,,,,,,,,,,,,,,,,-here,-here,ACTIVE,be,is,is,PresentSimple,aap,aap,vaccination,vaccination,,,schedule,schedule
1818,"girlfrompbo, the reason i am looking into an alternative schedule is because there are significant other many vaccines given to infants and it seems really excessive to me.",c2372684607,wiggleit15,a31602755,02/08/2012,schedule_noun,i am looking into an alternative schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,look,looking,am looking,PresentContinuous,alternative,alternative,,,,,schedule,schedule
1819,i can understand why people vaccinate according to the typical schedule but i just do not think it has for us.,c2372684607,wiggleit15,a31602755,02/08/2012,schedule_noun,people vaccinate according to the typical schedule,1,,,,,,,,,,,,,,,,,,,people,people,ACTIVE,vaccinate,vaccinate,vaccinate,PresentSimple,typical,typical,,,,,schedule,schedule
1820,"but her 6 month appt is not until january...we have been a month behind birth control before children of the doc schedule, and christmas is pushing things out even farther.",c2475260129,Ashley47,a53527831,11/14/2014,schedule_noun,we have been a month behind birth control before children of the doc schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,be,been,have been,PresentPerfect,,,doc,doc,,,schedule,schedule
1821,i have been having the same struggle and i think i will do some sort of alternate schedule.,c2035113412,mom2bJuly2009,a9447105,05/19/2009,schedule_noun,i will do some sort of alternate schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,do,do,will do,Future,alternate,alternate,,,,,schedule,schedule
1822,with our first we spaced them out a bit.,c2357333826,tiggerspell,a29148705,08/27/2011,delay_verbs,we spaced them,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,space,spaced,spaced,PastSimple,,,,,,,them,them
1823,my pedi actually advised to delay some just because there are so many due at the one year.,c2382724803,Talim27,a33414454,05/16/2012,delay_verbs,my pedi actually advised to delay some,1,,,,,my,my,pedi,pedi,advise,advised,advised,PastSimple,,,,,,,,,,delay,delay,to delay,Infinite,,,,,,,some,some
1824,we are delaying and spreading them out as well.,c2424131019,MyMiracleBaby2013,a42967309,06/30/2013,delay_verbs,we are delaying,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,delay,delaying,are delaying,PresentContinuous,,,,,,,,
1825,we vaccinated on schedule for our first three with no issues and will do so with this one as well.,c2465573871,Jamie4ta,a51398170,08/16/2014,schedule_noun,we vaccinated on schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,vaccinate,vaccinated,vaccinated,PastSimple,,,,,,,schedule,schedule
1826,"personally, i will be having my son vaccinated as he gets older ... in other words i am on a delayed schedule... because i think his chances of picking up something deadly is very rare and if he does have a reaction to a vaccine, it has easier to treat at an older age.",c2149089731,IktomiKsa,a22588139,05/01/2010,schedule_noun,i am on a delayed schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,be,am,am,PresentSimple,delayed,delayed,,,,,schedule,schedule
1827,ive always received a handout with the recommended immunization schedule.,c2486933813,jcmdream,a55525939,02/28/2015,schedule_noun,ive always received a handout with the recommended immunization schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,receive,received,ve received,PastPerfect,recommend,recommended,immunization,immunization,,,schedule,schedule
1828,and if so do you already have a schedule in mine.,c2497443650,MollyLynn1976,a57223339,06/04/2015,schedule_noun,you already have a schedule,1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,have,have,do have,PresentSimple,,,,,,,schedule,schedule
